Frequency [Hz],PSD [microns/s^2]^2/Hz
0.227861805524542,2.23451038664336e-19
0.228282013430393,2.22717686067324e-19
0.228702996256305,2.21989385584509e-19
0.229124755431334,2.21266122262042e-19
0.229547292387173,2.20547881216138e-19
0.229970608558156,2.19834647632803e-19
0.230394705381259,2.19126406767574e-19
0.23081958429611,2.1842314394525e-19
0.231245246744993,2.17724844559627e-19
0.23167169417285,2.17031494073231e-19
0.232098928027287,2.16343078017062e-19
0.232526949758582,2.15659581990323e-19
0.232955760819685,2.14980991660164e-19
0.233385362666228,2.1430729276142e-19
0.233815756756526,2.13638471096349e-19
0.234246944551582,2.12974512534375e-19
0.234678927515095,2.12315403011828e-19
0.235111707113463,2.11661128531691e-19
0.23554528481579,2.11011675163338e-19
0.235979662093884,2.10367029042278e-19
0.236414840422273,2.09727176369906e-19
0.236850821278201,2.09092103413244e-19
0.237287606141638,2.08461796504686e-19
0.23772519649528,2.07836242041752e-19
0.238163593824562,2.07215426486831e-19
0.238602799617655,2.06599336366927e-19
0.239042815365475,2.0598795827342e-19
0.239483642561688,2.05381278861802e-19
0.239925282702714,2.04779284851442e-19
0.240367737287734,2.04181963025328e-19
0.240811007818691,2.03589300229823e-19
0.241255095800301,2.03001283374419e-19
0.241700002740052,2.02417899431493e-19
0.242145730148214,2.01839135436058e-19
0.242592279537841,2.01264978485521e-19
0.243039652424778,2.00695415739441e-19
0.243487850327665,2.0013043441928e-19
0.243936874767943,1.9957002180817e-19
0.244386727269858,1.99014165250662e-19
0.244837409360467,1.98462852152493e-19
0.245288922569645,1.97916069980343e-19
0.245741268430085,1.97373806261593e-19
0.246194448477309,1.96836048584092e-19
0.24664846424967,1.96302784595912e-19
0.247103317288357,1.95774002005118e-19
0.247559009137404,1.95249688579528e-19
0.248015541343689,1.94729832146474e-19
0.248472915456944,1.94214420592572e-19
0.248931133029759,1.93703441863484e-19
0.249390195617588,1.93196883963687e-19
0.249850104778753,1.92694734956236e-19
0.250310862074448,1.92196982962533e-19
0.250772469068749,1.91703616162098e-19
0.251234927328613,1.91214622792331e-19
0.25169823842389,1.90729991148286e-19
0.252162403927323,1.90249709582441e-19
0.252627425414556,1.89773766504468e-19
0.253093304464139,1.89302150381e-19
0.253560042657531,1.88834849735411e-19
0.254027641579112,1.88371853147578e-19
0.254496102816178,1.87913149253664e-19
0.254965427958957,1.87458726745885e-19
0.255435618600606,1.87008574372286e-19
0.255906676337223,1.86562680936516e-19
0.256378602767848,1.86121035297603e-19
0.25685139949447,1.85683626369732e-19
0.257325068122031,1.85250443122016e-19
0.257799610258435,1.84821474578279e-19
0.25827502751455,1.84396709816829e-19
0.258751321504214,1.83976137970242e-19
0.259228493844244,1.83559748225135e-19
0.259706546154434,1.83147529821945e-19
0.26018548005757,1.82739472054716e-19
0.260665297179426,1.82335564270871e-19
0.261145999148778,1.81935795870999e-19
0.261627587597404,1.81540156308631e-19
0.262110064160091,1.81148635090029e-19
0.262593430474641,1.80761221773962e-19
0.263077688181877,1.80377905971492e-19
0.263562838925647,1.79998677345759e-19
0.264048884352831,1.79623525611762e-19
0.264535826113346,1.79252440536144e-19
0.265023665860151,1.78885411936983e-19
0.265512405249254,1.78522429683567e-19
0.266002045939717,1.78163483696191e-19
0.266492589593662,1.77808563945936e-19
0.266984037876274,1.77457660454459e-19
0.267476392455811,1.77110763293782e-19
0.267969655003607,1.76767862586077e-19
0.268463827194077,1.76428948503459e-19
